Method,Accuracy,Avg_Samples,Reduction
SC,0.5480916030534351,40.0,0.0
ES,0.549618320610687,14.461068702290076,63.84732824427481
ASC,0.5465648854961832,18.387786259541986,54.03053435114503
RASC,0.5679389312977099,8.780152671755726,78.04961832061068
