N,Accuracy,Avg_Samples,Reduction
3,0.5450381679389313,5.665648854961832,85.83587786259542
4,0.5541984732824428,7.261068702290077,81.8473282442748
5,0.5679389312977099,8.780152671755726,78.04961832061068
6,0.5725190839694656,10.335877862595419,74.16030534351145
7,0.5648854961832062,11.745038167938931,70.63740458015268
